CCN	TopQuartile	HAC
230270	N	5.25
230273	Y	7.075
230275	N	7
230277	N	5.725
230279	N	7
230297	N	5.425
230301	N	6
230302	N	4.8
230303	N/A	0
240001	N	6.625
240002	N	6.075
240004	Y	9.025
240006	Y	8
240010	N	5.3
240014	N	4
240018	N	2
240019	N	6.65
240020	Y	9
240022	N	3
240030	N	3.45
240036	Y	7.275
240038	N	6.875
240040	N	3
240043	N	3
240044	N	5.4
240047	Y	7.075
240050	N	5
240052	N	3
240053	N	6.375
240056	N	5.1
240057	N	5.575
240059	N	2
240063	N	5
240064	N	3
240066	N	3
240069	N	2.05
240071	N	7
240075	Y	8
240076	N	3
240078	N	3.35
240080	Y	7.725
240084	Y	7.6
240088	N	4
240093	N	4.15
240100	Y	8.3
240101	N	3
240104	N	1.7
240106	Y	7.7
240115	N	4.9
240132	N	6.2
240141	Y	8
240166	N	3.45
240187	N	7
240196	N	6
240206	N	7
240207	N	4.675
240210	N	3.35
240213	N	6
240214	Y	7.6
250001	Y	8.05
250002	N	5
250004	N	5.225
250006	N	2.4
250007	N	4.425
250009	N	6.725
250010	N	6
250012	N	6
250017	N	6
250018	Y	8.95
250019	N	4.35
250020	N	5
250025	N	2.05
250027	N	6
250031	N	6.875
250034	N	6.875
250036	N	2.4
250038	N	3.7
250040	N	6.225
250042	N	3.1
250043	N	6
250044	N	2.05
250048	N	6.95
250049	N	5
250050	Y	7.55
250051	N	7
250057	N	2.675
250058	Y	8.325
250060	N	7
250061	N	6
250067	N	4
250069	N	5.975
250072	N	4.3
250077	N	2.75
250078	N	4.925
250079	N	7
250081	Y	8
250082	Y	7.2
250084	N	4.275
250085	N	5
250093	Y	7.375
250094	N	5.125
250095	N	2.4
250096	Y	7.075
250097	N	6.3
250099	N	5.25
250100	N	4.275
250102	N	6.55
250104	N	4.6
250117	Y	8.65
250122	N	1
250123	Y	7.075
250124	N	7
250126	N	5
250127	Y	8.95
250128	N	2.05
250134	N	7
250136	N	7
250138	N	6.95
250141	Y	9.35
250151	N	7
250152	N/A	0
250162	N	1.35
250163	N/A	0
250167	N/A	0
260001	N	5.925
260004	N	7
260005	N	6.6
260006	N	4.6
260009	Y	7.35
260011	N	4.925
260015	N	3.45
260017	Y	7.075
260020	N	6.4
260022	N	4.25
260023	N	5.275
260024	N	3.8
260025	N	5.275
260027	Y	8.025
260032	Y	7.725
260034	N	6
260040	N	4.25
260047	N	5.575
260048	Y	9.025
260050	N	6
260052	N	5.1
260057	N	1.7
260059	Y	7.55
260061	N	4
260062	N	5.35
260064	N	1.7
260065	N	4.375
260068	N	3.375
260070	N	1.7
260074	Y	7.2
260077	N	5.425
260078	N	5.45
260080	N	7
260081	N	4.7
260085	N	2.35
260091	N	4.7
260094	N	6.275
260095	Y	8.65
260096	N	3.625
260097	N	2.4
260102	N	3.1
260104	N	6.375
260105	Y	8.7
260108	N	5.975
260110	Y	8.325
260113	N	2.05
260116	N	3.95
260119	Y	7.4
260137	N	5.075
260138	Y	7.05
260141	N	6.725
260142	N	5
260147	N	7
260160	N	5
260162	Y	7.725
260163	N	7
260175	N	5.325
260176	N	6.025
260177	N	6.325
260179	N	4.475
260180	Y	7.075
260183	Y	7.675
260186	N	4.3
260190	Y	7.9
260191	N	6.025
260193	Y	7.375
260195	N	1
260200	Y	7.925
260207	Y	8
260209	N	6
260210	N	6.325
260214	N	3
260216	N	6.65
260219	N	6.425
260227	N	7
260228	N	5
260229	N/A	0
260230	N/A	0
270003	N	7
270004	N	5.225
270012	N	6.925
270014	Y	7.35
270017	Y	7.675
270023	N	3.375
270032	Y	9
270049	N	6.975
270051	N	4.95
270057	N	5.4
270074	N	6
270086	N	2
270087	N	4
280003	N	6.325
280009	N	4.325
280013	Y	8
280020	N	6.7
280023	Y	7.075
280030	Y	7.025
280032	N	3.45
280040	Y	7.4
280060	N	5.55
280061	N	5.7
280065	Y	8.625
280077	N	6.025
280081	N	6.525
280105	N	4.35
280111	N	3
280119	Y	8.95
280125	Y	9
280127	N	3
280128	N	1
280129	N	4
280130	N	6.25
280131	N	5
280132	N	2.05
280133	N	7
290001	N	6.7
290002	N	7
290003	N	5.725
290005	Y	8.25
290006	N	2
290007	Y	9.675
290008	N	1.35
290009	N	5.675
290012	N	3.7
290019	N	5.4
290020	Y	8.95
290021	Y	7.35
290022	N	1.65
290032	Y	9
290039	Y	7.65
290041	N	4
290042	Y	8.95
290045	Y	7.025
290046	N	7
290047	Y	7.35
290049	N	5.275
290051	N	6
290053	N	4.3
290054	N	3.75
300001	N	5.25
300003	Y	7.4
300005	N	1.7
300011	N	6.425
300012	Y	7.025
300014	N	7
300017	N	4.025
300018	N	3.05
300019	N	5.4
300020	N	4.7
300023	N	2.95
300029	N	4.6
300034	Y	8.325
310001	Y	7.05
310002	Y	7.725
310003	Y	8.325
310005	N	4
310006	Y	9.3
310008	N	6.7
310009	N	5.25
310010	Y	7.675
310011	N	3.725
310012	N	6.55
310014	N	6.4
310015	N	5.325
310016	N	6.05
310017	Y	7.075
310019	N	5.975
310021	N	6.75
310022	N	3.6
310024	N	2.625
310025	N	5.55
310027	N	6.3
310028	N	1.65
310029	N	4.6
310031	N	2.95
310032	Y	8.7
310034	N	6.95
310038	Y	9.025
310039	N	6.675
310040	N	6.975
310041	N	4.275
310044	Y	10
310045	N	3.275
310047	Y	7.55
310048	Y	8.025
310050	N	4.25
310051	Y	8.7
310052	Y	8.975
310054	N	6.55
310057	N	2
310058	Y	7.275
310060	N	6.725
310061	N	5.675
310064	N	5.9
310069	N	3.675
310070	Y	8.675
310073	N	5.625
310074	N	3.625
310075	Y	7.65
310076	N	5.125
310081	N	3.6
310083	N	1.975
310084	N	6.3
310086	N	4.675
310091	Y	7.225
310092	N	7
310096	N	6.25
310108	Y	8.05
310110	Y	8.375
310111	Y	8.025
310112	N	5.225
310113	Y	7.675
310115	N	4.15
310118	Y	7.35
310119	Y	9.675
310130	N/A	0
320001	Y	7.025
320002	N	3.3
320003	N	2.05
320004	N	5.925
320005	Y	7.275
320006	Y	7.275
320009	N	5.025
320011	N	2.05
320013	Y	8.7
320016	Y	10
320017	N	3
320018	Y	7.05
320021	Y	7.675
320022	N	2.75
320030	Y	8
320033	Y	9
320038	N	4.6
320057	N	7
320058	N	7
320059	Y	8
320060	N	6
320061	N	4.275
320062	N	7
320063	N	1.35
320065	N	1.35
320067	N	7
320070	N	7
320074	N	4.35
320084	Y	8
320085	N	3.625
320086	N	3
320089	N	2.75
330003	N	5.6
330004	N	1.675
330005	Y	8.675
330006	Y	7.25
330008	Y	8
330009	N	6.025
330011	N	4.45
330013	N	6.025
330014	Y	7.55
330019	N	3.6
330023	N	4.3
330024	N	5.4
330027	N	4.6
330028	N	6.075
330030	N	3.025
330033	N	6.05
330043	Y	8
330044	Y	8
330045	N	5.9
330046	Y	8.05
330047	N	1
330049	N	3.95
330053	N	6.7
330055	N	3.65
330056	Y	8.675
330057	N	5.9
330058	N	4.75
330059	Y	7.725
330061	N	6.25
330065	N	4.25
330067	N	3.975
330073	N	2.7
330074	N	5.35
330078	N	4.575
330079	N	6.1
330080	N	4.575
330084	N	6.7
330085	N	4.725
330086	N	6.75
330088	N	5
330090	N	2.3
330094	Y	8.375
330096	N	3.45
330100	N	5
330101	N	6.95
330102	N	6.725
330103	N	4.35
330104	N	5.575
330106	Y	8.375
330107	N	3.45
330108	N	1.35
330111	N	6
330115	N	2.05
330119	Y	9.025
330125	N	5.1
330126	N	4.95
330127	Y	8.05
330128	N	6.575
330132	N	5
330135	N	1
330136	N	5.625
330140	N	5.025
330141	N	4.9
330144	N	5
330151	Y	9
330153	Y	8.325
330157	N	3
330158	N	6.025
330160	N	6.75
330162	Y	8
330163	N	3.925
330164	Y	7.95
330166	N	7
330167	N	5.375
330169	N	5.35
330175	N	5.425
330180	N	5.25
330181	N	6.625
330182	N	5.3
330184	N	6.65
330185	N	6.2
330188	N	6.075
330191	N	5.9
330193	N	6.55
330194	N	6.4
330195	N	6.675
330196	Y	7.925
330197	N	6.9
330198	N	3.975
330199	N	6.95
330201	Y	7.2
330202	Y	9.675
330203	Y	9
330204	N	6.35
330205	N	3.45
330208	N	6.525
330211	N	1.35
330214	Y	7.025
330215	N	6.65
330218	N	1.675
330219	N	4.925
330221	Y	8.7
330222	Y	9.35
330223	Y	10
330224	N	4
330226	N	5.275
330229	N	3.45
330231	N	6.925
330232	N	4.35
330233	Y	9.65
330234	Y	7.375
330235	N	1.35
330236	Y	7.65
330238	N	3.95
330239	N	6.525
330240	N	3.05
330241	Y	7.4
330245	Y	7.075
330246	N	5.95
330250	Y	7.05
330259	N	4.35
330261	N	7
330263	Y	8.65
330264	N	5.55
330265	N	6.95
330267	N	3.425
330268	N	5
330270	N	1
330273	Y	7.375
330276	N	3.45
330277	N	5.25
330279	N	6.65
330285	Y	7.7
330286	N	5.95
330304	N	4.7
330306	Y	7.025
330307	N	6.35
330331	Y	8
330332	N	6.9
330340	N	4.425
330350	Y	7.075
330353	N	3.925
330372	N	5.625
330385	N	6.925
330386	N	3.8
330387	N/A	0
330393	Y	8.7
330394	N	3.725
330395	Y	7.725
330396	N	5.275
330397	N	3.95
330399	Y	7.35
330401	N	5.3
330403	N	7
330404	N	6
330405	N	6
330406	N	6
330408	N/A	0
330409	Y	8.95
340001	N	6.925
340002	N	3.6
340003	N	2.3
340004	N	3.95
340008	N	3.3
340010	N	5.55
340011	N	5
340013	Y	8.6
340014	N	6.35
340015	N	4.625
340016	N	2.4
340017	N	3.4
340020	N	3.8
340021	Y	7.025
340023	N	4.25
340024	N	4.35
340027	N	6.725
340028	Y	8.65
340030	N	7
340032	Y	7.025
340036	N	3.45
340037	N	2.65
340039	N	3.05
340040	Y	9.35
340041	N	5.075
340042	N	1.65
340047	N	5.75
340049	N	4
340050	Y	9
340051	N	4.35
340053	Y	7.4
340060	N	2.4
340061	Y	7.375
340064	N	3.4
340068	N	5.575
340069	Y	8.35
340070	Y	8.625
340071	N	2.4
340073	N	3.6
340075	N	4.925
340084	N	5
340085	N	6.4
340087	N	4.05
340090	N	3.625
340091	N	3.625
340096	N	3.4
340097	N	3
340098	Y	7.3
340099	N	5.95
340106	N	2.75
340107	N	6.025
340109	Y	8.675
340113	N	4.9
340114	N	3.625
340115	N	6.1
340116	N	3.925
340119	N	3.325
340120	N	1.7
340123	N	1.975
340126	N	4.9
340127	N	2.05
340129	N	2.675
340130	N	4.9
340131	N	4.9
340132	N	4.125
340133	N	4.35
340141	N	5.425
340142	Y	7.65
340143	Y	7.325
340144	N	5.575
340145	N	5.225
340147	Y	7.4
340148	N	3
340151	N	4.075
340153	N	1
340155	N	4.6
340156	N	7
340158	N	6.025
340159	N	5.7
340160	N	5.7
340166	N	5.25
340168	Y	8.95
340171	N	2.625
340173	Y	7.25
340183	N	3.65
340184	N	4.425
340186	N	2
350002	N	6.05
350006	N	6.725
350011	N	4.625
350015	N	3.95
350019	N	4.8
350063	N	7
350064	N/A	0
350070	Y	9
360001	N	3.925
360002	N	4
360003	Y	8.05
360006	N	3.975
360008	N	2
360009	N	2.4
360010	N	3.925
360011	N	1.975
360012	Y	7.7
360013	N	5.7
360014	N	2.75
360016	N	6.55
360017	N	6.35
360019	Y	7.7
360020	N	6.1
360025	N	5.225
360026	N	2.05
360027	N	6.4
360029	N	2.75
360032	N	4
360035	N	5.725
360036	N	5.25
360037	Y	7.6
360039	N	3.6
360040	N	1.7
360041	N	5.35
360044	N	3
360046	N	3.45
360048	Y	8.05
360051	Y	7.075
360052	Y	8.05
360054	N	5.05
360055	Y	7.7
360056	N	2.625
360058	N	3
360059	Y	8.7
360064	N	5.125
360065	N	4.25
360066	N	3.325
360068	N	4.975
360070	N	6.6
360071	Y	8
360072	N	5.375
360074	Y	7.05
360075	N	6.7
360076	N	1.325
360077	N	3.6
360078	Y	7.3
360079	N	6.025
360080	N	5.75
360081	Y	7.275
360082	Y	7.375
360084	N	3.275
360085	Y	7.375
360086	N	3.95
360087	N	2.05
360089	N	3
360090	N	4.75
360091	N	3.325
360092	N	3
360095	N	3.95
360096	N	2.35
360098	N	4.95
360107	N	6
360109	N	3.8
360112	Y	8.35
360116	N	5
360118	N	3.375
360121	N	3.1
360123	N	1.675
360125	N	2.05
360131	N	6.575
360132	N	3.65
360133	N	6.075
360134	N	4.7
360137	N	5.375
360141	N	5.975
360143	Y	8.05
360144	N	4.65
360145	N	2.3
360147	N	2.625
360148	N	6
360150	N	3.95
360151	N	5.3
360152	N	5.075
360153	N	6
360155	N	3.975
360156	N	5.7
360159	Y	8.025
360161	N	4.05
360163	N	4.8
360170	N	4.675
360172	N	2.625
360174	N	5.575
360175	N	4.05
360179	N	3.95
360180	Y	8.375
360185	N	6.95
360189	N	2.05
360192	N	4.025
360195	N	3.45
360197	Y	8.35
360203	N	4.1
360210	N	1
360211	N	6.675
360212	N	3.975
360218	N	2.95
360230	N	5.7
360234	N	6.55
360236	N	6.25
360239	N	5
360241	N/A	0
360245	N	7
360247	Y	8.95
360259	N	4.65
360261	N	6
360262	N	6.85
360263	N	4
360266	N	2
360270	N	4
360274	N	5
360276	N	6.425
360348	N	4.6
360351	N	2
360352	N	4
360354	N	6.575
360355	N	4
360358	N	7
360359	Y	8.675
360360	N	6.7
360361	N/A	0
360362	N/A	0
370001	N	4.4
370002	N	3.8
370004	N	2.05
370006	N	3.7
370007	Y	8
370008	N	6.575
370011	N	6
370013	N	5.95
370014	N	2.625
370015	N	4
370016	N	4.725
370018	N	1.975
370019	N	2.4
370020	N	4.6
370022	N	4.75
370023	N	3.675
370025	N	2.325
370026	N	1.65
370028	N	2.3
370029	N	4
370030	Y	9
370032	N	1
370034	N	2.05
370036	N	6
370037	Y	7.325
370039	N	1.35
370040	Y	8
370041	N	7
370047	N	5.75
370048	N	2.4
370049	N	4.975
370051	N	6
370054	N	3.8
370056	N	2.95
370057	N	7
370065	N	7
370072	N	6
370078	N	5.65
370080	N	6
370083	N	6
370089	N	2.975
370091	N	6.4
370093	Y	7.4
370094	N	4.975
370097	Y	7.375
370099	Y	8
370100	N	3
370103	N	6
370106	N	2.625
370112	N	6
370113	N	1.7
370114	N	6.3
370138	N	6
370139	N	6
370149	N	4.775
370153	N	4
370156	N	7
370158	N	5
370166	N	4
370169	N	7
370170	N	7
370171	Y	8.35
370172	N	6
370173	N	6
370178	N	4
370180	Y	10
370183	N	6
370190	Y	7.25
370192	N	5
370199	N	6
370201	N	5
370202	Y	9.35
370203	N	5
370206	N	3
370210	N	1
370211	N	4.625
370212	N	4
370214	N	7
370215	N	3.95
370216	N	1
370218	N	1
370220	N	6
370222	N	1
370225	Y	10
370227	N	4
370228	N	7
370229	N	5
370233	N	7
370234	N	3.65
370235	N	1
370236	N	5
380001	Y	8
380002	N	3.95
380004	Y	8
380005	Y	9
380007	Y	7.4
380009	N	6.75
380014	N	6.575
380017	Y	8.05
380018	N	3.275
380020	N	6.7
380021	N	6.1
380022	N	6.4
380025	Y	8.975
380027	N	2.975
380029	Y	9
380033	N	6
380037	N	3.45
380038	N	5
380040	N	1
380047	N	5.25
380050	N	6.425
380051	N	5.975
380052	N	5
380056	Y	8
380060	N	4.425
380061	N	5.4
380071	N	6.7
380075	Y	7.7
380082	N	1.7
380089	N	5.55
380090	N	4.15
380091	N	3.625
380102	N	6.025
380103	N/A	0
390001	N	3.275
390002	N	5.925
390003	N	5.3
390004	N	5.725
390006	Y	9.025
390008	N	3
390009	Y	9.675
390012	N	3.95
390013	N	3.625
390016	N	2.3
390019	Y	9
390025	N	7
390026	N	4.7
390027	N	6.05
390028	N	6.025
390030	N	2.35
390031	N	6.225
390032	N	6.675
390035	Y	8.7
390036	Y	7.725
390037	N	5.625
390039	N	2.7
390041	N	3.925
390042	N	3.95
390043	Y	7.55
390044	N	6.375
390045	N	4.25
390046	N	4.6
390048	Y	7.725
390049	Y	7.075
390050	N	6.4
390052	N	1.7
390056	N	7
390057	Y	9.675
390058	N	3.075
390061	N	5.95
390062	Y	9
390063	N	6.05
390065	N	5.75
390066	N	6.75
390067	N	5.75
390068	N	3.975
390070	Y	8.325
390071	N	5
390072	N	2.3
390073	N	4.575
390076	Y	8.6
390079	N	2.95
390080	N	5.925
390081	N	2.675
390084	N	3
390086	N	1.65
390090	N	6.025
390091	N	5.7
390093	N	7
390096	Y	7.4
390097	N	4.325
390100	N	6.05
390101	Y	7.7
390102	N	5.75
390104	N	5
390107	Y	7.05
390110	Y	7.725
390111	Y	8.05
390112	N	4
390113	N	6.6
390114	Y	8.05
390115	Y	8
390116	N	3.3
390117	N	2
390118	N	2.75
390119	N	5.4
390122	N	4
390123	Y	7.275
390125	N	4
390127	N	6.95
390130	N	5
390132	Y	8.95
390133	Y	8
390137	N	4.575
390138	Y	7.05
390139	Y	7.05
390142	Y	7.4
390145	N	5.975
390146	N	2.4
390147	N	5.25
390150	N	1.7
390151	Y	7.25
390153	Y	8.675
390154	N	1.35
390156	N	5.025
390157	N	3.95
390160	N	4.675
390162	N	5.775
390163	Y	7.35
390164	Y	7.4
390168	Y	8.025
390173	N	5.925
390174	Y	7.375
390178	N	6.1
390179	N	5.25
390180	N	6.425
390183	N	2.75
390184	N	2.05
390185	N	3.925
390192	N	4
390194	N	6.25
390195	N	6.025
390197	N	4.425
390198	N	4
390199	N	1.7
390201	N	5.6
390203	N	3.6
390204	N	4.275
390211	N	1.975
390217	N	5.275
390219	N	4.6
390220	N	4.575
390222	N	7
390223	N	5.3
390225	Y	8.35
390226	Y	8.025
390228	N	3.35
390231	N	5.675
390233	N	6.525
390236	N	5.3
390237	N	6.025
390256	Y	8.05
390258	N	5.875
390263	Y	7.025
390265	N	1.65
390266	N	3.45
390267	N	6.725
390268	N	4.725
390270	Y	7.05
390272	N	7
390278	N	6
390290	N	5.775
390302	Y	8.95
390304	N	4.05
390307	N	6
390312	Y	7.925
390314	N	7
390316	N	3
390321	Y	9
390322	N	3
390323	N	5
390324	N	5
390325	N	3
390326	N	6.25
390327	N	7
390328	N	6.675
390329	N	2.325
410001	N	4.775
410004	N	6.625
410005	Y	8.025
410006	N	3.4
410007	Y	8.375
410008	N	1.975
410009	N	6.2
410010	Y	7.35
410011	N	4.725
410012	N	6.3
410013	Y	8.65
420002	N	4.575
420004	Y	8.375
420005	Y	7.2
420007	Y	8.325
420009	Y	7.7
420010	N	6.35
420011	N	4
420015	Y	7.4
420016	N	5
420018	Y	8.675
420019	N	3.45
420020	N	5.6
420023	N	5.375
420026	N	6.55
420027	N	4.9
420030	N	4.9
420033	N	1.35
420036	N	5.975
420037	N	2.75
420038	N	4.425
420039	N	3.4
420043	Y	8.25
420048	Y	8.625
420049	Y	7.275
420051	N	4.575
420053	N	4.625
420054	N	7
420055	N	4
420057	N	6
420062	N	4.15
420065	N	6.925
420066	N	5
420067	Y	7.025
420068	Y	7.2
420069	N	2.4
420070	N	4.925
420071	N	5.65
420072	N	4
420073	N	3.975
420078	N	6.275
420079	N	5.95
420080	N	6.725
420082	Y	8.05
420083	N	4.65
420085	N	4.675
420086	Y	9
420087	N	6.2
420089	N	5.625
420091	N	5.975
420098	N	2.95
420101	N	2.05
420102	N	7
420103	N	4
420104	N	3
420105	N	3.1
430005	Y	7.05
430008	N	6
430012	N	2.3
430013	N	3.1
430014	N	1.975
430015	N	3
430016	N	3.3
430027	Y	7.375
430048	N	6
430077	N	6.05
430081	N	6
430082	N/A	0
430083	N	7
430084	N	7
430089	N	4
430090	N	3
430091	Y	9
430092	N	4
430093	N	4
430094	Y	8
430095	N	3.325
430096	N	5
430097	N	4
440001	N	3
440002	N	4.95
440003	N	5.35
440006	N	4.575
440007	N	5
440008	N	4
440009	N	4.9
440010	N	6
440011	N	3.35
440012	N	4.35
440015	Y	7.075
440016	N	5
440017	N	6.625
440018	N	1.35
440020	N	2.75
440025	N	2.4
440029	N	4.375
440030	N	4.95
440031	N	3.95
440032	N	7
440033	Y	8.3
440034	N	6.275
440035	Y	8.275
440039	N	4.95
440040	N	6
440046	N	5.275
440048	Y	8.375
440049	N	6.05
440050	N	2.05
440051	N	3
440053	N	5.95
440056	N	3.65
440057	N	6.95
440058	N	6.85
440059	N	6.975
440060	N	3
440061	N	1.7
440063	N	5.025
440064	N	3
440065	N	3.675
440067	N	6.05
440068	N	3.35
440070	N	6
440072	N	3.925
440073	N	5.875
440081	N	4.9
440082	N	6.925
440083	N	6
440084	N	2.05
440091	N	6.525
440102	N	5.7
440104	Y	9.35
440109	N	2
440110	N	1.7
440111	N	4.3
440120	N	6.95
440125	Y	7.55
440130	N	1
440131	N	2.05
440132	N	6.85
440133	Y	7.375
440137	N	5.725
440141	Y	8
440144	N	2.4
440147	N/A	0
440148	N	4
440150	N	4.625
440151	N	3
440152	Y	9.675
440153	N	4.05
440156	N	6.6
440159	N	3
440161	N	4.275
440162	N/A	0
440168	Y	8
440173	Y	8.325
440174	N	6
440175	N	3.8
440176	N	3.425
440180	N	6.25
440181	N	6
440182	N	4
440183	N	5.875
440184	N	4.65
440185	N	5.75
440187	N	3.45
440189	N	3.6
440192	N	6
440193	N	4.975
440194	Y	7.65
440197	Y	8.6
440200	N	6
440218	N	4
440227	Y	7.95
440228	N	4
440231	N	7
440232	N/A	0
440233	N/A	0
450002	N	6.75
450005	N	4.6
450007	N	4.325
450010	N	3.325
450011	N	5.275
450015	Y	9
450018	Y	7.725
450021	Y	7.725
450023	N	2.95
450024	Y	10
450028	N	5.625
450029	N	4.925
450032	N	6.75
450033	N	6.65
450034	N	3.6
450035	N	6.75
450037	N	5.95
450039	Y	7.725
450040	N	6.025
450042	N	5.65
450044	Y	7.7
450046	N	6.875
450051	N	5.575
450052	Y	8
450054	Y	8.325
450055	N	4
450056	Y	8.325
450058	N	4.65
450064	N	3.625
450068	N	4.6
450072	N	2.95
450073	N	6
450078	N	6
450079	N	5.3
450080	N	2.75
450082	N	4
450083	N	5.875
450085	N	5
450087	Y	8.325
450090	N	2.05
450092	N	2.05
450097	N	6.275
450099	N	2.4
450101	N	4.775
450102	N	4.25
450104	N	4.975
450107	N	4.375
450108	N	7
450119	N	2.95
450124	Y	8.625
450128	N	4.575
450130	Y	9.65
450132	N	4.025
450133	N	4.7
450135	N	4.25
450137	Y	7.075
450143	N	5
450144	Y	8
450147	N	4.9
450148	N	6.075
450152	N	4.45
450154	N	4.9
450155	N	5
450162	N	5
450163	N	4.95
450165	N	2.05
450176	N	6.975
450177	N	1.7
450178	N	5
450184	N	4.25
450187	N	3
450188	N	5
450192	Y	10
450193	N	6.025
450194	Y	10
450196	N	3.975
450200	N	5.35
450203	N	4.6
450209	N	5.1
450210	N	6
450211	N	3.325
450213	Y	8.05
450214	Y	7.3
450219	N	2
450221	N	7
450222	N	5.9
450229	N	5.3
450231	N	6.1
450235	N	4
450236	N	2.3
450237	N	5.6
450241	N	7
450243	N	7
450253	N	6
450270	N	6
450271	N	4.325
450272	N	5.05
450280	N	6.425
450289	N	6.1
450292	Y	9.35
450293	N	7
450296	Y	9
450299	Y	7.625
450306	N	7
450324	N	3.725
450330	N	4
450340	N	2.75
450346	N	5.225
450347	N	3.75
450348	N	6
450351	N	4.15
450352	N	3.725
450358	N	4.275
450369	N	5
450370	N	5
450372	Y	8.05
450373	N	7
450379	N	6.675
450388	N	5.925
450389	N	3.6
450395	N	3.45
450399	N	6
450400	N	2.4
450403	N	5.075
450411	N	4
450419	N	6.95
450422	N	3
450424	N	2.3
450431	N	4.6
450446	N	7
450447	N	2.325
450451	N	5
450460	N	6
450462	Y	7.7
450465	N	3.45
450469	N	2.95
450475	N	3
450484	N	5.975
450488	N	7
450489	N	5
450497	N	5
450498	N	6
450508	N	5.425
450518	N	3.925
450537	N	5.7
450539	N	3.45
450558	N	5.05
450563	Y	8.35
450565	N	1.7
450571	N	4.575
450573	N	2.75
450578	N	7
450580	N	2
450584	N	7
450586	N	6
450587	N	3.925
450591	N	1.7
450596	N	2.4
450597	N	4
450604	N	1
450605	N	5
450610	N	3.275
450617	N	2.3
450620	N	6
450634	N	2.325
450638	N	6.875
450639	N	4.925
450641	N	6
450643	N	4.9
450644	N	5.95
450647	Y	7.05
450651	Y	7.075
450653	N	3.45
450654	N	5
450656	N	3.075
450658	N	6
450659	N	6.625
450661	Y	7.7
450662	N	6.2
450668	N	5.425
450669	N	3
450670	N	6.625
450672	N	4.975
450674	N	5.1
450675	Y	8.275
450677	N	2.625
450678	N	3.325
450684	N	3.95
450686	N	5.625
450688	N	1
450690	N	2.05
450694	N	5
450697	N	6.25
450698	N	7
450702	N	6.55
450709	N	5.725
450711	Y	7.325
450713	Y	8.025
450716	Y	7.35
450718	N	6.875
450723	N	5.625
450730	Y	9.025
450742	N	3.05
450743	N	5.375
450746	N	7
450747	N	3.35
450749	N	6
450754	N	5
450755	Y	9
450766	N	3.95
450770	Y	8.6
450771	N	4.925
450774	N	4
450775	Y	9.65
450779	N	3.95
450780	N	5
450788	N	3.925
450795	N	5.3
450796	N	5
450797	N	7
450801	N	4.325
450803	N	3.625
450804	N	2
450808	N	5
450809	N	5.9
450820	N	2.3
450822	N	5.275
450825	N	4
450827	N	3
450828	N	2.3
450831	N	7
450832	N	3.675
450833	N	5
450834	N	5
450840	N	4.05
450844	N	1.975
450845	Y	9
450847	N	1.975
450848	N	4.925
450851	N	3.65
450853	Y	8
450855	N	6.2
450856	N	3
450860	N	5
450862	N	4.925
450864	N	7
450865	N	6
450867	N	5.125
450869	N	5.35
450871	N	2
450872	N	1
450874	N	5
450875	N	2
450876	N	1
450877	N	5
450880	N	2
450883	N	6
450884	N	5
450885	N	6.1
450888	N	7
450889	N	6
450890	N	6.375
450891	Y	8
450893	N	7
450894	N	4
460001	Y	9.025
460003	Y	10
460004	Y	8.35
460005	Y	8.325
460006	Y	9.025
460007	N	5.05
460009	Y	8.325
460010	Y	7.725
460011	Y	9
460013	N	4.275
460014	N	6.35
460015	N	3
460017	N	2
460019	N	3
460021	N	5.4
460023	N	6.4
460026	N	4
460030	Y	8
460033	N	7
460035	N	7
460039	Y	9
460041	Y	7.25
460042	N	5.075
460043	N	7
460044	Y	9.65
460047	Y	8.375
460049	Y	9
460051	N	4.925
460052	N	2.975
460054	N	6
460057	Y	8
460058	Y	10
460059	N/A	0
460060	N/A	0
470001	N	3.325
470003	N	3.95
470005	N	3
470011	N	1
470012	N	4.65
470024	N	7
490001	N	2.05
490002	N	4
490004	N	4.675
490005	N	2.625
490007	N	6.4
490009	Y	8.35
490011	Y	9.35
490013	Y	7.6
490017	N	3.3
490018	N	4.65
490019	Y	7.7
490020	N	5.4
490021	Y	8.35
490022	N	5
490023	N	5.775
490024	Y	8.7
490032	Y	8.05
490033	N	6.65
490037	N	1.35
490038	N	1.35
490040	N	2.65
490041	N	4.65
490042	N	4.6
490043	N	3.6
490044	N	3.6
490045	N	5.725
490046	N	2.95
490048	N	2.95
490050	N	3.975
490052	N	5.925
490053	N	4
490057	N	4.7
490059	N	6.4
490060	N	1.7
490063	Y	7.7
490066	N	4.25
490067	N	3.65
490069	Y	7.675
490075	Y	7.4
490077	N	2
490079	N	4.575
490084	Y	9.3
490088	N	6.95
490089	N	4.7
490090	N	4
490092	N	2.05
490093	N	4.575
490094	N	5
490097	N	2.4
490098	N	3
490101	N	4.575
490104	N/A	0
490105	N	7
490106	N	7
490107	N	4
490109	N	7
490110	N	5.05
490111	N	3.45
490112	N	5.725
490113	N	6.4
490114	N	2.75
490115	N	5
490116	N	5.1
490117	N	6
490118	N	6.05
490119	N	3.625
490120	N	5.625
490122	N	3.6
490123	N	4.15
490126	N	6.35
490127	N	2.75
490129	N/A	0
490130	Y	7.35
490134	N	7
490135	Y	8.95
490136	N	6.75
490140	Y	7.05
490141	N	6.375
490143	Y	8
500001	Y	8.25
500002	Y	7.25
500003	N	6.725
