CCN	TopQuartile	HAC
050360	Y	8.05
050367	N	6.65
050373	Y	7.075
050376	Y	8.7
050378	Y	7.55
050380	Y	7.725
050382	N	6.375
050385	N	3
050390	Y	8.325
050393	Y	7.325
050394	N	3.075
050396	N	6.075
050397	N	7
050407	N	2.75
050411	N	5.025
050414	N	5.425
050417	N	2.75
050423	N	4
050424	Y	9.35
050425	N	4.6
050426	N	1.975
050434	N	6
050435	N	6
050438	N	6.1
050441	N	6.4
050444	N	6.375
050454	N	4.9
050455	Y	7.65
050457	N	2.325
050464	N	4.725
050468	N	5.6
050471	Y	7.35
050481	N	6.25
050485	Y	8.35
050488	N	6.375
050492	Y	8.7
050496	Y	8.3
050498	N	4.8
050502	N	5.625
050503	Y	8
050506	N	3.325
050510	N	6.7
050512	Y	7.075
050515	N	3.025
050516	N	6.075
050517	N	3.95
050523	N	6.375
050526	N	4.575
050528	N	5
050534	N	3.95
050537	N	3.8
050541	Y	8.65
050543	N	7
050545	Y	8.95
050546	Y	8.95
050547	N	7
050548	Y	8.95
050549	Y	7.7
050551	N	6.375
050552	Y	8
050557	N	6.425
050561	N	4.275
050567	N	6.425
050568	N	5.675
050570	N	4.65
050573	N	4
050575	N	1.65
050580	N	3.275
050581	N	3.025
050586	N	1
050588	N	3.35
050589	Y	7.95
050590	N	4.425
050597	N	4.625
050599	Y	7.725
050603	Y	7.35
050604	Y	7.05
050608	N	4.15
050609	N	4.3
050616	N	4.425
050618	N	6
050624	N	6.425
050625	N	6.725
050633	Y	8.675
050636	Y	7.025
050641	Y	7.925
050663	N	1.975
050668	N	7
050674	N	5.7
050677	N	6.025
050678	N	4.75
050684	N	6.2
050686	N	3.325
050688	N	6.675
050689	N	4.1
050690	N	4.325
050696	Y	9.35
050697	N	5
050701	N	3.075
050704	Y	8.25
050708	Y	8
050709	N	2.95
050710	N	2.025
050714	Y	10
050717	Y	7.325
050723	Y	7.325
050724	N	4.95
050726	Y	8
050727	N	3.325
050732	N	2.325
050735	N	7
050736	N	2.05
050737	N	6.575
050738	N	3.65
050739	N	3.275
050740	N	5
050742	N	6.425
050744	N	6.9
050745	Y	8.65
050746	Y	9.325
050747	Y	8.675
050748	N	4.025
050751	N	6
050754	N	6
050755	N	5.55
050757	N	3.6
050758	N	3.35
050760	Y	9.325
050761	Y	7.025
050763	N	3.025
050764	N	3.6
050765	N	4.4
050766	N	4
050767	Y	7.375
050769	N	5
050770	N	6.525
050771	N	3.65
050772	N	4.35
050773	N	5.925
050774	N/A	0
050775	N/A	0
060001	N	3.675
060003	N	3.325
060004	N	5.45
060006	Y	7.7
060008	N	1.7
060009	N	6.7
060010	N	3
060011	N	5.75
060012	Y	7.375
060013	N	6.575
060014	Y	7.025
060015	Y	8.375
060016	N	2
060020	Y	7.725
060022	N	6.725
060023	N	6.75
060024	Y	7.4
060027	N	5.1
060028	N	4.35
060030	N	3.8
060031	N	5.575
060032	Y	7.4
060034	Y	8.05
060036	N	2.4
060043	N	7
